Semester,Class Participation,Final Grade
Fall,Moderate,89.11
Fall,Low,86.31
Fall,Moderate,84.25
Fall,High,86.6
Fall,Moderate,87.85
Fall,High,85.66
Fall,High,94.82
Fall,High,96.59
Fall,Moderate,88.65
Fall,High,96.54
Fall,Low,75.89
Fall,Moderate,93.48
Fall,High,102.95
Fall,Moderate,83.5
Fall,Moderate,91.71
Fall,Moderate,97.55
Fall,High,98.76
Fall,Low,68.81
Fall,Low,66.57
Fall,Moderate,87.97
Fall,Moderate,86.5
Fall,Moderate,97.82
Fall,Low,78.36
Winter,Moderate,90.23
Winter,Moderate,91.23
Winter,Moderate,96.98
Winter,High,94.18
Winter,Moderate,75.48
Winter,High,99.64
Winter,Moderate,95.76
Winter,High,77.7
Winter,High,94.23
Winter,Moderate,86.58
Winter,Low,72.47
Winter,High,99.41
Winter,Low,70.62
Winter,Low,89.2
Winter,Moderate,87.65
Winter,Low,81.65
Winter,Moderate,93.74
Winter,High,88.56
Winter,Moderate,93.35
Winter,Moderate,101.84
Winter,Moderate,89.92
Winter,Low,73.76
Winter,Moderate,83.59
Winter,Moderate,95.68
Winter,Moderate,86.61
Spring,Moderate,64.8
Spring,High,95.9
Spring,High,97.39
Spring,Moderate,94.09
Spring,High,97.3
Spring,Moderate,89.49
Spring,Moderate,95.44
Spring,Moderate,96.34
Spring,Moderate,90.72
Spring,Low,91.15
Spring,Low,53.95
Spring,High,95.49
Spring,Low,85.91
Spring,Moderate,69.86
Spring,Moderate,93.98
Spring,High,95.67
Spring,Low,63.59
Spring,High,86.02
Spring,Moderate,89.33
Spring,Moderate,101.64
Spring,High,96.45
Spring,Low,51
Spring,Moderate,101.11
