"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-01,2023,1,1,1,-0.8,24,-5.1,24,NA,0,NA,0,5.8,24,7,24,14.4,18,5,"*",-5,"*",NA,NA,NA,0,1,1,0,0,0,0.4,0.6,72.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-02,2023,1,2,2,-4.4,24,-6.7,24,NA,0,NA,0,4.3,24,7.2,24,11.8,17,-3,"*",-5,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.4,84
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-03,2023,1,3,3,-3.4,24,-6.3,24,NA,0,NA,0,4.2,24,6.8,24,11.8,14.4,-3,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,80.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-04,2023,1,4,4,-3.4,24,-6.3,24,NA,0,NA,0,6.3,24,6.6,24,11.3,17,-2,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,80.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-05,2023,1,5,5,-1.7,24,-5.4,24,NA,0,NA,0,7.6,24,6.8,24,11.8,17,-1,"*",-3,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,75.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-06,2023,1,6,6,-0.1,24,-5.2,24,NA,0,NA,0,9.2,24,3.5,24,8.8,NA,2,"*",-2,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,68.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-07,2023,1,7,7,-0.1,24,-2.4,24,NA,0,NA,0,8.7,24,2.7,24,4.6,NA,3,"*",-3,"*",NA,NA,NA,0,0,1,0,0,0,0.5,0.6,84.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-08,2023,1,8,8,-0.2,24,-3.9,24,NA,0,NA,0,9.7,24,2.1,24,3.6,NA,1,"*",-2,"*",NA,NA,NA,0,0,1,0,0,0,0.5,0.6,76.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-09,2023,1,9,9,0.9,24,-3.4,24,NA,0,NA,0,8.9,24,3.9,24,8.8,14.4,5,"*",-2,"*",NA,NA,NA,0,1,1,0,0,0,0.5,0.7,73
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-10,2023,1,10,10,-1.1,24,-6.1,24,NA,0,NA,0,8.9,24,5.2,24,9.3,14.4,1,"*",-2,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,68.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-11,2023,1,11,11,3.6,24,-3.1,24,NA,0,NA,0,10,24,2.4,24,9.3,NA,6,"*",-1,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.8,61.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-12,2023,1,12,12,2.8,24,-2.5,24,NA,0,NA,0,10,24,2.4,24,7.2,NA,9,"*",-3,"*",NA,NA,NA,0,1,0,0,0,0,0.5,0.7,68.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-13,2023,1,13,13,8.9,24,2.4,24,NA,0,NA,0,10,24,4.1,24,8.8,12.4,12,"*",4,"*",NA,NA,NA,0,1,0,0,0,0,0.7,1.1,63.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-14,2023,1,14,14,2.8,24,1.7,24,NA,0,NA,0,5.5,24,3.4,24,5.7,NA,6,"*",0,"*",NA,NA,NA,0,1,1,0,0,0,0.7,0.7,92.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-15,2023,1,15,15,0.1,24,-0.6,24,NA,0,NA,0,4.7,24,4.7,24,8.8,NA,1,"*",-2,"*",NA,NA,NA,0,1,1,0,0,0,0.6,0.6,95
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-16,2023,1,16,16,-1.8,24,-5.2,24,NA,0,NA,0,8,24,5.9,24,10.3,13.4,1,"*",-3,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,77.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-17,2023,1,17,17,-2.3,24,-5.2,24,NA,0,NA,0,8,24,2.3,24,5.7,NA,-1,"*",-3,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,80.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-18,2023,1,18,18,-2.6,24,-5.8,24,NA,0,NA,0,9.2,24,2.9,24,6.7,NA,0,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,78.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-19,2023,1,19,19,-0.4,24,-5.4,24,NA,0,NA,0,10,24,2.8,24,4.6,NA,2,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,69
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-20,2023,1,20,20,1.4,24,-2.8,24,NA,0,NA,0,8.4,24,4.5,24,10.8,15.4,4,"*",-1,"*",NA,NA,NA,0,1,1,0,0,0,0.5,0.7,73.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-21,2023,1,21,21,-3.9,24,-7.2,24,NA,0,NA,0,6.1,24,5.3,24,10.8,14.4,-1,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,77.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-22,2023,1,22,22,-4,24,-7.7,24,NA,0,NA,0,9.3,24,4.4,24,8.8,NA,-2,"*",-8,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.5,75.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-23,2023,1,23,23,-1.2,24,-4.9,24,NA,0,NA,0,8.4,24,2.9,24,5.1,NA,1,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,75.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-24,2023,1,24,24,-7.4,24,-10.6,24,NA,0,NA,0,4.5,24,8.4,24,12.4,18,-1,"*",-10,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,77.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-25,2023,1,25,25,-7.6,24,-10.8,24,NA,0,NA,0,1.4,24,11.3,24,18,24.7,-6,"*",-10,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.3,77.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-26,2023,1,26,26,-5.7,24,-8.3,24,NA,0,NA,0,5,24,5.4,24,10.3,14.4,-5,"*",-8,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,81.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-27,2023,1,27,27,-4.9,24,-7.8,24,NA,0,NA,0,9.3,24,2.5,24,7.2,NA,-2,"*",-11,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,80.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-28,2023,1,28,28,-6.4,24,-9.2,24,NA,0,NA,0,4.8,24,6,24,11.3,14.4,-4,"*",-8,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,80.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-29,2023,1,29,29,-6.5,24,-9.9,24,NA,0,NA,0,9.5,24,2,24,5.7,NA,-4,"*",-11,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,76.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-30,2023,1,30,30,-4.2,24,-7.1,24,NA,0,NA,0,5.8,24,3.1,24,7.7,NA,-2,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.4,80.2
